Sigla	Disciplina	TPI	Recomendação	Ementa	Bibliografia Básica	Bibliografia Complementar
ESZC003-13	Economia do Setor Público	4-0-4	Microeconomia II	Razões econômicas para a presença do Estado. O setor público no Brasil. Eficiência de mercado. Falhas de mercado e o papel do governo. Equidade e eficiência. Bens públicos, escolha pública e produção pública de bens privados. Externalidades e meio-ambiente. Análise da política de gastos em saúde, defesa, seguridade social, educação e de gastos em programas de redistribuição de renda. Falhas de governo. Teoria da tributação: tributação e eficiência econômica e tributação ótima. Tributação sobre trabalho e capital. Regulação de mercados e os limites do Estado.	"BIDERMAN, C.; ARVATE, P. (org.) Economia do Setor Público no Brasil, Rio de Janeiro, Elsevier, 2004.
GIAMBIAGI, F.; ALÉM, A. C., Finanças Públicas- Teoria e Prática no Brasil, Rio de Janeiro, Campus, 1999.
REZENDE, F.. Finanças Públicas. Editora Atlas, 2001."	"LONGO, C. A.; TROSTER, R.L.. – Economia do Setor Público. São Paulo. Editora Atlas, 1993.
RIANI, F. Economia do Setor Público – Uma Abordagem Introdutória, 4ª ed, São Paulo, Atlas, 2002.
SILVA, F. A.R..Finanças Públicas, São Paulo. Editora Atlas, 2007.
SIMONSEN, M. H.; CYSNE, R. P.. Macroeconomia. Editora Atlas, 2009.
STIGLITZ, J. Economics of Public Sector. W. W. Norton & Company, 2001."
ESHT005-13	Economia do Território	4-0-3	Não há	Conceitos de espaço e de território. O objeto de estudo da economia espacial. O território entre o macro e o micro: a economia espacial nas ciências econômicas. O território no pensamento dos economistas clássicos. A tradição da escola alemã e os modelos gravitacionais da economia espacial. O território e os distritos Marshalianos. Densidade, distância e renda da terra: a escola anglo-saxônica e a nova economia urbana. A nova geografia econômica e a síntese de Krugman. As perspectivas recentes - o embrião de um diálogo interdisciplinar.	"BRANDÃO, Carlos. Território e Desenvolvimento. Campinas: Ed. Unicamp, 2012.
HARVEY, D. A produção capitalista do espaço. São Paulo: Annablume, 2005.
KRUGMAN, P. R. Development, geography, and economic theory. Cambridge: The MIT Press, 1996."	"CLEMENTE, A. Economia e desenvolvimento regional. São Paulo: Atlas, 2000.
DINIZ, C.C. A busca de um projeto de nação: o papel do território e das políticas regional e urbana. Economia, Selecta, Brasília (DF), v.7, n.4, p. 1-18., 2006.
JACOBS, J. Morte e vida das grandes cidades. SP: Martins Fontes, 2011.
MARSHALL, A. Princípios de economia. São Paulo: Abril Cultural, 1982.
O¿SULLIVAN, A.. Urban Economics. Boston: Irwin Publishers, 1983."
ESZC004-13	Economia do Trabalho	4-0-3	Microeconomia II	Introdução ao mercado de trabalho: definições, fatos e tendências. A demanda por trabalho: um modelo simples e modelos modificados. Custos de trabalho quase-fixos e seus efeitos sobre a demanda por trabalho. A oferta de trabalho: a decisão de trabalhar e a teoria da produção doméstica. Diferenciais de salários compensatórios e os mercados de trabalho. Investimento em capital humano e efeitos sobre os diferenciais de salários. Mobilidade do trabalhador: rotatividade, migração e imigração. Pagamento e produtividade. Gênero, raça e etnia no mercado de trabalho. Sindicatos e negociações coletivas no setor privado: evidência de efeitos salariais. Desigualdade nos ganhos. As curvas de Lorenz e os coeficientes de Gini.	"BORJAS, G. Labor Economics. New York, MacGraw-Hill, 1996.
RAMOS, C.A. Economia do trabalho: modelos teóricos e o debate no Brasil. CRV, 2012.
WAJNMAN, S.; MACHADO, A.F. Mercado de Trabalho: uma análise a partir de pesquisas domiciliares. Belo Horizonte: Ed. UFMG, 2003."	"BALTAR, P. E. A.; KREIN, José Dari; SALAS, C. (Org.). Economia e trabalho: Brasil e México. São Paulo: LTr, 2009. v. 7. 1ª edição. 271 p.
CAHUC, P.; ZYLBERBERG, A. Labor Economics. MIT Press, 2004.
DEDECCA, C. S.; PRONI, M. W. Políticas públicas e trabalho. Campinas/SP: Unicamp/IE, Brasília/DF: MTE, 2006.
EHREMBERG, R. G.; SMITH, R. S. A moderna economia do trabalho. São Paulo: Makron Books, 2000. 5ª edição.
KAUFMAN, B.; HOTCHKISS, J..The Economics of Labor Market. New York, Dryden Press, 2000."
ESZC005-13	Economia e Instituições no Brasil Contemporâneo	4-0-3	Economia Institucional I	Legado histórico. Visão ortodoxa das instituições: bases e instrumentos da estabilidade macroeconômica; agenda de reformas macroeconômicas e microeconômicas. Instituições políticas e sociais: eleições e representação. Agricultura e instituições. Desenvolvimento, tecnologia e instituições. Instituições e meio-ambiente.	"BIELCHOWSKY, R. Pensamento Econômico Brasileiro. Rio de Janeiro: Contraponto, 1988.
FRANCO, G. O Desafio Brasileiro. SP: Ed. 34, 2000.
NUNES, E. et al. Agências reguladoras e reforma do Estado no Brasil. Garamond, 2007."	"GONÇALVES, F.; HOLLAND, M.; SPACOV, A. Can jurisdictional uncertainty and the capital controls explain the high level of the real interest rate no Brazil?. Revista Brasileira de Economia, 61 (1), p. 49- 75, 2007.
MODENESI, A. M. Regimes monetários: teoria e a experiência do Real. São Paulo: Manole, 2005.
MOTA, L. D. (Ed.). Introdução ao Brasil: um banquete nos trópicos. São Paulo: Ed. SENAC, 2008.
SICSU, J.; OREIRO. J. L.; PAULA, L. F. de (Ed.). Agenda Brasil. São Paulo: Manole, 2003.
SOUZA, J. A ralé brasileira. Belo Horizonte: UFMG, 2009."
ESHC010-13	Economia e Meio Ambiente	3-0-3	Não há	Meio Ambiente e desenvolvimento econômico. Economia dos Recursos Naturais. Teoria da Poluição. Valoração econômico-ambiental. Contabilidade ambiental. Economia ecológica. Comércio e meio ambiente. Relações internacionais e meio ambiente.	"BELLEN, Hans Michael van. Indicadores sustentabilidade: uma análise comparativa. 2 ed. Rio de Janeiro: FGV, c2006.
MAY, PETER. H.; LUSTOSA, MARIA.C.; VINHA, VALÉRIA.. Economia do Meio Ambiente. Rio de Janeiro: Campus, 2003.
VEIGA, José Eli da. Desenvolvimento sustentável: o desafio do século XXI. 3ª. ed. Rio de Janeiro: Garamond, 2008."	"CAMARGO, Ana Luiza de Brasil. Desenvolvimento sustentável: dimensões e desafios. 5 ed. Campinas, SP: Papirus, 2003.
DALY, Herman ; FARLEY, Joshua. Economia ecológica: princípios e aplicações. Lisboa: Instituto Piaget, 2004.
MOTTA, R. S. Manual de Valoração Econômica do Meio Ambiente. Brasília: Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal, 1998.
MOURA, L. A. A.. Economia Ambiental ¿ Gestão de Custos e Investimento. São Paulo: Editora Juarez de Oliveira, 2003.
MUELLER, C. Os economistas e as Relações entre o sistema econômico e o meio-ambiente. Brasília: Ed. UnB/Finatec, 2007."
ESHC011-13	Economia Industrial	4-0-3	Microeconomia II	O estudo de organização industrial. Análise estrutural de mercado: críticas à concorrência perfeita eimperfeita. Teoria do oligopólio e formação de preços. Teoria do crescimento da firma. Interaçãoestratégica. Estrutura de mercado oligopolista e padrões de concorrência. A grande empresa contemporânea. Mercados contestáveis. Estratégias empresariais. Políticas e Regulação dos mercados.	"KON, A. Economia Industrial. São Paulo: Nobel, 1999.
KUPFER, D; HASENCLEVER, L. Economia Industrial: Fundamentos Teóricos e Práticos, Rio de Janeiro: Campus, 2002.
PENROSE, E. A Teoria do Crescimento da Firma. Campinas: Ed. Unicamp, 2006."	"CANO, Wilson. Desequilibrios regionais e concentração industrial no Brasil 1930-1970. 3 ed. São Paulo: Editora UNESP, 2007.
GALBRAITH, J. K.. O Novo Estado Industrial. Coleção os Economistas, São Paulo: Abril, 1983
PINTO JÚNIOR, Helder Queiroz (org.). Economia da energia: fundamentos econômicos, evolução histórica e organização industrial. Rio de Janeiro: Elsevier, 2007.
VISCUSI, W.; HARRINGTON, J.E; VERNON, J. Economics of regulation and antitrust. 4ª ED. Cambridge, Mass: Mit Press, 2005.
WALDMAN, Don E; JENSEN, Elizabeth J. Industrial Organization: theory and practice. 3 ed. Boston: Pearson Addison-Wesley , 2007."
ESHC012-13	Economia Institucional I	4-0-3	Não há	Trajetória das abordagens institucionalistas em economia: a velha e a nova economia institucional (temas, autores e periodização). Fundamentos da Economia Institucional Original (EIO): crítica à economia clássica e neoclássica; a abordagem evolucionária de Veblen. Fundamentos da economia institucional: interesses divergentes, direitos de propriedade e organizações em Commons. Galbraith: a tecno-estrutura e o novo estado industrial. Contexto da ascensão da Nova Economia Institucional (NEI): crítica à economia ortodoxa. Primeira vertente da NEI: rent seeking, escolha pública e coalizões para a ação coletiva. Segunda vertente da NEI: a economia dos custos de transação. Terceira vertente da NEI: instituições, história e performance econômica de longo prazo.Situação atual da EIO: o papel dos hábitos e das instituições para Hodgson; Wray e a macroeconomia da EIO; a EIO e o meio-ambiente.	"CHANG, Ha-Joon (2009). Maus Samaritanos: o mito do livre-comércio e a história secreta do capitalismo. RJ: Campus- Elsevier.
FIANI, Ronaldo. Cooperação e Conflito. Rio de Janeiro: Campus-Elsevier, 2011;
WRAY, L. Randall. Trabalho e moeda hoje. Rio de Janeiro: Ed. UFRJ / Contraponto, 2003."	"AXELROD, Robert. A Evolução da Cooperação. São Paulo: Leopardo, 2010.
COMMONS, John. Institutional Economics. New York: Macmillan, 1934.
NORTH, Douglass. Understanding the Process of Economic Change. Princeton University Press, 2005.
OLSON, Mancur. A lógica da ação coletiva. SP: Edusp, 2011.
VEBLEN, Thorstein. A Teoria da Classe Ociosa. São Paulo: Abril Cultural, 1987.
WILLIAMSON, Oliver. As Instituições Econômicas do Capitalismo. São Paulo: Pezco, 2012."
ESZC006-13	Economia Institucional II	4-0-3	Economia Institucional I	Instituições: desenho ou ordem espontânea? A visão de instituições como equilíbrios. Instituições e jogos evolucionários. Instituições e mudança institucional. Bases teóricas do novo institucionalismo histórico. Hábitos, path dependence e mudança incremental na história econômica de longo prazo. Bases teóricas do institucionalismo da escolha racional. Bases teóricas do institucionalismo sociológico. Mercado e organizações. Instituições do mercado, Mercados, hierarquias, market choice e non-market choice. A natureza da firma: hábitos, rotina e organizações. Mecanismos e estruturas de governança. Convergências e divergências nos programas de pesquisa em Economia institucional.	"BOWLES, S. Microeconomics: behavior, institutions and evolution. Princeton: Princeton University Press, 2004.
CHANG, H. (Ed.). Rethinking development economics. Anthem Press, 2003.
NELSON, R. e WINTER, S. Uma teoria evolucionária da mudança econômica. Editora da Unicamp: Campinas/SP, 2005."	"ACEMOGLU, D.; ROBINSON, J. A. Economic origins of dictatorship and democracy. Cambridge: Cambridge University Press, 2006.
GREIF, A. Institutions and the path to the modern economy: lessons from medieval trade. Cambridge Univ Press, 2006.
KOTZ, D; Mc DONOUGH, T ; REICH, E. (Orgs). Social structures of accumulation. Cambridge University Press.
RUTHERFORD, M. Institutions in economics: the old and the new institutionalism. Cambridge: Cambridge University Press, 1996.
SCOTT, W. R. Institutions and Organizations. 2ª Ed. Thousand Oaks (CA) & London: Sage, 2001."
ESHC013-13	Economia Internacional I	4-0-4	Macroeconomia II	Introdução à teoria do comércio internacional. Modelos de comércio internacional: modelo de vantagens comparativas de Ricardo, modelo de fatores específicos, modelo de Heckscher¿Ohlin e modelo geral do comércio. Economias de escala, concorrência imperfeita e comércio internacional. Evidências empíricas de padrões de comércio. Instrumentos de política comercial. Economia política da política comercial. Acordos internacionais de comércio. Política comercial nos países em desenvolvimento e nos países avançados.	"BAUMANN, R.; CANUTO, O.; GONÇALVES, R. Economia internacional: teoria e experiência brasileira. Rio de Janeiro: Campus, 2004. 550p.
KRUGMAN, P.; OBSTFELD, M. Economia internacional: teoria e política. 6ª ed. São Paulo:
Pearson Addison Wesley, 2005.
SILVA, CÉSAR R. L. da; CARVALHO, MARIA A.. Economia Internacional. Editora Saraiva, 4ª edição, 2007."	"ARRIGHI, G. O Longo Século XX. Rio de Janeiro: Contraponto, 1994.
BARAN, P.; SWEEZY, P. Capitalismo Monopolista. Rio de Janeiro: Zahar, 1966.
CARBAUGH, Robert J. Global Economics. 13 ed. várias cidades (edição internacional): South-Western Cengage Learning, 2011.
CAVES, R.; FRANKEL, J.; JONES, R.. Economia Internacional: comércio e transações globais. São Paulo: Saraiva, 2001.
KENEN, P.. Economia internacional: teoria e política. Rio de Janeiro: Campus, 1998."
ESHC014-13	Economia Internacional II	4-0-3	Economia internacional I	Contabilidade nacional e balanço de pagamentos. Taxas de câmbio e o mercado de câmbio. Moeda, taxas de juros e taxas de câmbio. Níveis de preços e taxa de câmbio no longo prazo. Produção e taxa de câmbio no curto prazo. Taxas de câmbio fixas e intervenção no câmbio. Sistema monetário internacional. Política e coordenação macroeconômica internacional sob taxas de câmbio flutuantes. Áreas monetárias ótimas. Mundialização e financeirização da economia em período recente.	"BAUMANN, R.; CANUTO, O.; GONÇALVES, R. Economia internacional: teoria e experiência brasileira. Rio de Janeiro: Campus, 2004. 550p.
KRUGMAN, P.; OBSTFELD, M.. Economia internacional: teoria e política. 6ª ed. São Paulo: Pearson Addison Wesley, 2005.
SILVA, CÉSAR R. L. da; CARVALHO, MARIA A.. Economia Internacional. Editora Saraiva, 4ª edição, 2007."	"CARBAUGH, ROBERT. International Economics. South-Western College Pub. 12ª edição, 2008.
CAVES, R.; FRANKEL, J.; JONES, R.. Economia Internacional: comércio e transações globais. São Paulo: Saraiva, 2001.
EICHENGREEN, B.. A Globalização do Capital: Uma História do Sistema Monetário Internacional. Editora 34, 2000
HILFERDING, R. O capital financeiro. São Paulo: Nova Cultural, 1982. Coleção Os Economistas. 
POLANYI, K. A Grande Transformação. Rio de Janeiro: Campus, 2000."
ESHC015-13	Economia Monetária	3-0-3	Macroeconomia II	Modelos simples de trocas em uma economia monetária com gerações sobrepostas. Modelo de duas ilhas de Lucas. Modelo de escolha intertemporal. Regime de metas de inflação. Mecanismos de transmissão de política monetária. Modelos de inconsistência temporal na política monetária (modelos de Barro-Gordon). Inter-relações entre política fiscal e política monetária e dominância fiscal. Regras de Taylor. Atuação do Banco Central.	"ALMEIDA, José R. N. Economia Monetária: uma abordagem brasileira. SP: Atlas, 2009.
FORTUNA, E. Mercado Financeiro: produtos e serviços. SP: Qualitymark, 2013.
PAULA, L.F. de, et.al. Economia Monetária e Financeira. RJ: Campus, 2007."	"BAIN, K.; E HOWELLS, P. Monetary Economics: Policy and its Theoretical Basis. New York, Palgrave, 2003.
CHAMP, B.; E FREEMAN, S.. Modeling Monetary Economies, 2. ed. Cambridge University Press, 2001.
LOPES, J do C.; ROSSETTI, J.P. Economia Monetária. SP: Atlas, 9ª Ed., 2005.
MISHKIN, FREDERICK .Monetary Policy Strategy. MIT Press, 1ª edição, 2007.
WILLIAMSON, S.. Macroeconomics. Addison Wesley"
ESHR003-13	Economia Política da Segurança Alimentar Global	4-0-4	Não há	Teoria neomaltusiana. Segurança alimentar e soberania nacional. Explicações para a fome. Análise dos principais mercados (demanda e oferta). Formação de preços. Estados, povos e empresas multinacionais. Desafio da sustentabilidade. Papel das agências intergovernamentais (FAO, FMI). Atuação do G7 e G20.	"FAO. The State of Food and Agriculture: Women in agriculture – closing the gender gap for development. Rome: FAO/United Nations, 2011. ISBN: 978-92-5-106768-0
KONING, Niek; PINSTRUP-ANDERSEN, Per (Edit). Agricultural Trade Liberalization and the Least Developed Countries. Dordrecht: Springer, 2007. ISBN: 978-1-4020-6079-3
SHAW, John D. World Food Security: a History since 1945. Palgrave MacMilan, 2007. ISBN: 978-0-230553552
WINDERS, Bill. The Politics of Food Supply: US agricultural policy in the World Economy. New Haven/ London: Yale University Press, 2009. ISBN: 978-0-300-13924-2"	"BARRETT, Christopher B.; MAXWELL, Dan. Food Aid after Fifty Years: recasting its role. Oxon/New York: Routledge, 2005. ISBN: 978-0-415701259
CASTRO, Josue de. Geopolítica da fome: ensaio sobre os problemas de alimentação e de população do mundo. 3ª edição revisada. Rio de Janeiro: Casa do Estudante do Brasil, 1957.
DIAKOSAVVAS, Dimitri (ed). Coherence of agricultural and rural development policies. Paris: OECD Publishing, 2006. ISBN: 978-9264023888
GALE, Fred (Edit). China´s Food and Agirculture: issues for the 21st Century. US Department of Agriculture. University Press of Pacific, 2005. ISBN: 978-1410223336
LEATHERS, Howard D; FOSTER, Philips. The World Food Problem: Tackling the Causes of Undernutrition in the Third World. 3rd edition. Boulder: Lyenne Rienner Publishers, 2004.
PAUL, James A.; WALHBERG, Katarina. A new era of world hunger? : the global food crisis analyzed. FES Briefing Paper Dialogue on Globalization. Berlin: Friedrich-Ebert-Stiftung, 2008. http://library.fes.de/pdf-files/bueros/usa/05579-20080905.pdf"
ESHR004-13	Economia Política Internacional da Energia	4-0-4	Não há	História do carvão ao petróleo. Impacto dos choques de 1973 e 1979. Demanda e oferta. Controle sobre fontes de energia. Doutrina de Segurança Energética dos EUA. Política energética da Rússia. Oriente Médio. África. Empresas privadas e estatais. Trajetória da OPEP e da AIE. Novos atores.	"BANKS, Ferdinand. The Political Economy of World Energy: An Introductory Textbook. Singapore: World Scientific Publishing Company, 2007. ISBN: 978-9812700377
KALDOR, Mary; KARL, Terry Lynn, SAID, Yahia (Edit). Oil Wars. London/Ann Arbor: Pluto Press, 2007. ISBN: 978-0-745324791
KLARE, Michael, T. Rising Powers, Shrinking Planet. New York: Metropolitan Books, 2008. ISBN: 978-0-8050-8064-3
YERGIN, Daniel. The prize: epic quest for oil, money and power. New York: Simon & Schuster, 2008."	"BRIODY, Dan. The Halliburton Agenda. The Politics of oil and money. New Jersey: John Wiley & Sons, 2004. ISBN: 0-471-63860-9
BROMLEY, Simon. American Hegemony and World Oil. Pennsylvania State University Press, 1991. ISBN-13: 978-0271007465
FUSER, Igor. Energia e Relações Internacionais. 1. ed. São Paulo: Editora Saraiva, 2013. v. 1. 224p . ISBN: 978-85-02-20048-7
FUSER, Igor. Petróleo e Poder: o envolvimento militar dos Estados Unidos no Golfo Pérsico. São Paulo: editora UNESP, 2008. ISBN: 978-85-7139-819-1
IKENBERRY, G. John. Reasons of State: Oil Politics and the Capacities of American Government. Cornell University Press, 1988. ISBN-13: 978-0801421556
RONCAGLIA, A. The international oil market. London: Macmillan, 1985.
RUSSEL, James A.; MORAN, Daniel (Ed.) Energy Security and Global Politics: The Militarization of Resource Management. Routledge, 2008. and Daniel Moran. New York: Routledge 2008.
YEOMANS, Matthew. Oil: Anatomy of an Industry. New York/London: The New Press, 2004. ISBN: 1-56584-885-3"
ESZC007-13	Economia Regional e Sociedade	4-0-4	Não há	A contextualização do debate acerca do papel do território na economia internacional.. Globalização, reestruturação produtiva e as economias urbanas e regionais. Teorias sobre o desenvolvimento local. Tipologia de estratégias de desenvolvimento econômico local e regional. Experiências nacionais e internacionais de revitalização de economias urbanas e regionais. Perspectivas: economia, governança e mobilização produtiva de territórios.	"DINIZ, C.C., LEMOS, M.B. (Orgs) (2005). Economia e território. Belo Horizonte: Editora UFMG.
HARVEY, D. (1989) From Managerialism to enterpreneurialism: the transformation in urban governance in late capitalism, Geografiska Annaler, No 1, 1989, pp. 3-17.
OHMAE, K. O fim do estado nação. A ascensão das economias regionais. Rio de Janeiro: Campus, 1996.
SASSEN, S. A nova economia urbana: a interseção dos processo globais com a localidade. In: As cidades na economia mundial, São Paulo, Studio Nobel, 1998, pp. 75 – 102.
SENGENBERGER, W e PIKE, F. (1999). Distritos industriais e recuperação econômica local: questões de pesquisa e política. In: Urani, André, Cocco, GIUSEPPE, Galvão; PATEZ, Alexander (Organizadores). Empresários e empregos nos novos territórios produtivos. O caso da terceira Itália. Rio de Janeiro, Editora DPA."	"LEE, R. e WILLS, J. (Eds.) (1997). Geographies of economies. London: Arnold Publishers.
ROJAS, E., CUADRADO ROURA, J.R. e GÜELL, José Miguel Fenández (Orgs.). Gobernar las metrópolis. Washington: Banco Interamericano de Desarrollo e Universidade de Alcalá de Henares, 2005.
WORLD BANK. Reshaping Economic Geography. Washington: The International Bank for Reconstruction and Development, 2009."
ESZP046-14	Economia Solidária, Associativismo e Cooperativismo	4-0-4	Não há	Concepções de desenvolvimento sustentável e as críticas aos modelos de desenvolvimento capitalista nas sociedades modernas; concepções de desenvolvimento local e regional; desenvolvimento sustentável, questões ambientais e sociais; concepções de economia solidária e economia social; concepções de associativismo e cooperativismo; histórias do associativismo e do cooperativismo e suas ligações com os movimentos de trabalhadores, sindicais e sociais; resistências, críticas à globalização e às políticas econômicas neoliberais e as redes de economia solidária e social; transformações no mundo do trabalho: desregulamentação, desemprego, reestruturação produtiva e os impactos nas formas de organização do trabalho e dos trabalhadores; contradições e ambigüidades nas políticas públicas voltadas ao mundo do trabalho: legitimação e questionamento das políticas de geração de emprego e renda e combate à pobreza; políticas públicas de economia solidária, economia social, associativismo e cooperativismo na região do ABC paulista, no Brasil e em outros países.	"BARBOSA, Rosângela Nair de Carvalho. A economia solidária como política pública. São Paulo: Cortez, 2007.
FOLADORI, Guillermo. Limites do desenvolvimento sustentável. Campinas, SP: Ed. da Unicamp, 2001.
GAIGER, Luiz; CATTANI, David; LAVILLE, Jean-Louis. Dicionário internacional da outra economia. Lisboa: Almedina, 2009.
SACHS, Ignacy. Caminhos para o desenvolvimento sustentável. Rio de Janeiro: Garamond, 2002.
SACHS, Wolfgang (org.). Dicionário do Desenvolvimento: guia para o conhecimento como poder. Petrópolis, RJ: Vozes, 2000.
SANTOS, Boaventura de Souza. Produzir para viver: os caminhos da produção não capitalista. 2ª ed., Rio de Janeiro: Civilização Brasileira, 2005."	"ALVES, Giovanni. O novo (e o precário) mundo do trabalho. São Paulo: Boitempo, 2000.
ANTUNES, Ricardo. Adeus ao trabalho? Ensaio sobre as metamorfoses e a centralidade do mundo do trabalho. São Paulo: Cortez, 1995.
. Os sentidos do trabalho: ensaios sobre a negação e a afirmação do trabalho. São Paulo: Boitempo, 2000.
BECKER, Bertha K.; BUARQUE, Cristovam; SACHS, Ignacy. Dilemas e desafios do desevolvimento sustentável. Rio de Janeiro: Garamond, 2007.
DEMOUSTIER, Danièle. A economia social e solidária: um novo modo de empreendimento associativo. São Paulo: Loyola, 2006.
DOWBOR, Ladislau. Redes de apoio ao empreendedorismo e tecnologias sociais. X Congreso Internacional del CLAD sobre la Reforma del Estado y de la Administración Pública, Santiago, Chile, 18 - 21 Oct. 2005. Disponível em: http://www.iij.derecho.ucr.ac.cr/archivos/documentacion/inv%20otras%20entidades/ CLAD/CLAD%20X/documentos/dowbor.pdf Acesso em: 08/10/2009.
GAIGER, Luiz Inácio (org.) Sentidos e experiências da economia solidária no Brasil. Ed. UFRGS, 2004.
GUERIN, Isabelle. As mulheres e a economia solidária. São Paulo: Ed. Loyola, 2005. LIANZA, Sidney; ADDOR, Felipe. Tecnologia e desenvolvimento social e solidário. Porto Alegre: Ed. da UFRGS, 2005.
PINTO, João Roberto Lopes. Economia solidária: de volta à arte da associação. Porto Alegre: Ed. da UFRGS, 2006.
ROUILLÉ d´ORFEUIL, Henri. Economia cidadã: alternativas ao neoliberalismo. Petrópolis, RJ: Vozes, 2002.
SACHS, Ignacy. Desenvolvimento inconcludente, sustentável. Rio de Janeiro: Garamond, 2004.
SILVA, Christian Luiz da. Desenvolvimento sustentável: um modelo analítico integrado e adaptativo. Petrópolis, RJ: Vozes, 2006.
SINGER, Paul. Introdução à Economia Solidária. São Paulo: Perseu Abramo, 2002.
. “Economia solidária: entrevista com Paul Singer”. Estudos Avançados. vol.22 no. 62 São Paulo Jan./Apr. 2008. Disponível em: http://www.scielo.br/scielo.php?pid=S0103- 40142008000100020&script=sci_arttext&tlng=en Acesso em: 08/10/2009.
VEIGA, José Eli da. Desenvolvimento sustentável: que bicho é esse? Autores Associados, 2008."
ESHT006-13	Economia Urbana	4-0-4	Não há	Principais teorias econômicas sobre a dinâmica territorial das cidades e áreas metropolitanas. Urbanização, industrialização e o desenvolvimento das cidades ¿ introdução à visão econômica; teorias de localização ¿ a escola alemã; uso e ocupação do solo e renda da terra no modelo neoclássico; regulação urbanística, infraestrutura urbana e a dinâmica dos mercados imobiliários; o mercado imobiliário nos assentamentos precários; teorias de aglomeração ¿ de Marshall a Krugman; economia política das cidades; visões heterodoxas sobre o papel do mercado e do estado na produção e reprodução do espaço urbano.	"CAMAGNI, R. Economia Urbana. Barcelona: Antoni Bosch Editora / Universitat Autònoma de Barcelona, 2005.
GOOTDIENER, M. A Produção Social do Espaço Urbano. São Paulo: EDUSP, 1993.
RICHARDSON, H. W. Economia Urbana. Rio de Janeiro: Ed. Interciência, 1978."	"ABRAMO, P. Mercado e ordem urbana: do caos à teoria da localização residencial. Rio de Janeiro: Bertrand Brasil, 2001. 224 p.
BENKO, G. Economia, espaço e globalização na aurora do século XXI. São Paulo: Editora Hucitec, 1996.
CARVALHO, A. X. Y. et al. Ensaios de economia regional e urbana. Brasília: IPEA, 2007.
OLIVEIRA, F. O Estado e o urbano no Brasil. Revista Espaço & Debates, nº. 6, 1982, p. 43. São Paulo: E&D / Cortez, 1982.
SINGER, P. Economia Política da Urbanização. São Paulo: Ed. Brasiliense, 1983. 254 p."
ESZU006-13	Economia, Sociedade e Meio Ambiente	3-0-4	Não há	A questão ambiental: problemas ambientais e seus determinantes sociais e econômicos. A questão ambiental na teoria econômica: interdependências entre natureza e economia. Meio-ambiente e comercio internacional: barreiras ambientais, competitividade e qualidade ambiental. Modernização ecológica: tecnologia, crescimento e meio-ambiente. Energia e Sociedade. Reflexão aplicada a temas contemporâneos: Estado e mercado na questão ambiental. Desenvolvimento sustentável e políticas ambientais. A abordagem da Sociedade de Risco: limites da racionalidade técnico-científica.	"ALTVATER, E. O preço da riqueza. Pilhagem ambiental e a nova (des)ordem mundial. São Paulo: Editora da Unesp, 1995.
BECK, Ulrich. Sociedade de Risco ¿ Rumo a uma outra modernidade. São Paulo: Editora 34, 2010.
BRAGA, Benedito et al. Introdução à Engenharia Ambiental: o desafio do desenvolvimento sustentável. São Paulo: Prentice Hall, 2002.
COMISSÃO MUNDIAL SOBRE MEIO AMBIENTE E DESENVOLVIMENTO. Nosso Futuro Comum (Relatório Bruntland). Rio de Janeiro: Fundação Getúlio Vargas, 1988.
GOLDENBERG, J.; LUCON, O. Energia, meio ambiente e desenvolvimento. São Paulo: Edusp, 2008.
GONÇALES, C. W. P. O desafio ambiental. Rio de Janeiro: Record, 2004."	"BOA NOVA, A. C. Energia e classes sociais no Brasil. São Paulo: Loyola, 1985.
BURSZTYN, M. (org.). Para pensar o Desenvolvimento Sustentável. São Paulo: Brasiliense, 1997.
FAVARETO. A. Paradigmas do desenvolvimento rural em questão. São Paulo: Iglu/Fapesp, 2007.
SEN, A. Desenvolvimento como liberdade. São Paulo: Companhia de Letras, 2000.
VIANA, G. et al. (orgs.). O desafio da sustentabilidade. Um debate socioambiental no Brasil. São Paulo: Fundação Perseu Abramo, 2001."
