SIGLA	DISCIPLINA	TPI	RECOMENDAÇÃO	EMENTA	BIBLIOGRAFIA BÁSICA	BIBLIOGRAFIA COMPLEMENTAR
ESTE026-17	Laboratório de Máquinas Térmicas e Hidráulicas	0-2-4	Mecânica dos Fluidos II; Transferência de Calor II; Termodinâmica Aplicada I; Termodinâmica Aplicada II	Refrigeração; Medida de Eficiência de Ciclo a Vapor, Sistema de Ar Comprimido e Caldeira; Turbina a Vapor e Turbina Hidráulica; Trocador de Calor: Feixe e Casco Tubo; Motor de Combustão Interna; Câmara de Combustão: Eficiência de Combustão. Refrigeração; Medida de Eficiência de Ciclo a Vapor, Sistema de Ar Comprimido e Caldeira; Turbina a Vapor e Turbina Hidráulica; Trocador de Calor: Feixe e Casco Tubo; Motor de Combustão Interna; Câmara de Combustão: Eficiência de Combustão.	"INCROPERA, F. P.; De WITT, D. P.; Fundamentos de Transferência de Calor e Massa. 6ª Edição. LTC. 2002.
SONNTAG, R. E.; BOGNAKKE, C.; VAN WYLEN, G. J. Fundamentos da Termodinâmica Clássica; tradução da 6ª ed. americana. Ed. Edgard Blücher, 2003.
WHITE, F. M., Mecânica dos Fluidos, 6ª Ed., McGraw Hill, 2010."	"FOX, R.W., MCDONALD, A.T., Introdução à Mecânica dos Fluidos, 7ª Ed., Editora LTC, 2010.
ÇENGEL, Y., CIMBALA, J. M., Mecânica dos Fluidos: Fundamentos e Aplicações, McGraw Hill, 2008.
SOUZA, Z.,Dimensionamento de Máquinas de Fluxo: Turbinas, Bombas e Ventiladores, Editora Edgard BlucherLtda, 1991.
STOECKER, W., SÁIZ, J. M., Refrigeração industrial. 2° edição. Edgard Blucher.
DINÇER, Ibrahim; Refrigeration systems and applications. John Wiley & Sons Inc., 2003.
TURNS, S. R., An Introduction to Combustion: Concepts and Applications. 2ª Edição. McGraw- Hill.
HEYWOOD, J. B. Internal Combustion Engine Fundamentals. MacGraw-Hill International Editions – Automotive Technology Series, 1988."
NHZ3031-15	Laboratório de Propriedades Físicas de Materiais	2-2-4	Mecânica Quântica I; Estado Sólido	Estruturas cristalina, eletrônica e magnética. Caracterização experimental das propriedades térmicas, magnéticas e de transporte elétrico/térmico como função da temperatura, campo magnético e pressão em diversos materiais de interesse científico e tecnológico. Transições de fase e fenômenos críticos. Propriedades estruturais: difração de Raios-X e métodos de refinamento, absorção e espalhamento.	"1- KITTEL, Charles. Introducao a fisica do estado solido. [Introduction to solid state physics. 8 ed. Rio de Janeiro: LTC, 2006. 578 p.
2- ASHCROFT, Neil W; MERMIN, N.David. Solid state physics. Singapore: Brooks/Cole: Thomson, 1976. 826p.
3- KAUFMANN, Elton N. Characterization of Materials. Vols 1 e 2. Hoboken: John Wiley & Sons, 2003"	"1- HOFMANN, P. Solid state physics; an introduction. Hoboken: John Wiley & Sons, 2011. 419p.
2- IBACH, Harald; LUTH, Hans. Solid-state physics: an introduction to principles of materials science. 4 ed. Berlin: Springer, 2009. 501 p.
3- MYERS, H P. Introductory solid state physics. 2 ed. Boca Raton: CRC Press, 2002. 511 p.
4- ROSENBERG, H M. The solid state: an introduction to the physics of crystals for students of physics, materials science, and engineering. 3 ed. Oxford: Oxford University, 1988. 315 p. (Oxford physics series,9).
5- ZIMAN, J. M. Principles of the theory of solids. 2 ed. Cambridge: University Press, 1972. 435p."
MCZA011-17	Laboratório de Redes	0-4-4	Redes de Computadores	Avaliar os aspectos pertinentes à interconexão de redes de computadores usando o TCP/IP; realizar um projeto conjunto de interconexão de redes usando o TCP/IP; praticar formas distintas de endereçamento e roteamento IP; segurança de redes TCP/IP.	"TANENBAUM, A. S.; WETHERALL, D. Redes de computadores. 5ª edição.São Paulo, SP: Pearson Education do Brasil, 2011.
NEMETH, E.; HEIN, T.; SYNDER, G. Manual completo do Linux: guia do administrador. 2ª edição. São Paulo, SP: Prentice Hall Brasil, 2007.
STEVENS, R. UNIX network programming, vol. I. 2a edição. Upper Saddle River, NJ: Prentice-Hall, 1998."	"COMER, D. E. Redes de computadores e Internet. 2a edição. Porto Alegre, RS: Bookman, 2001.
NEMETH, E. et al. Unix system administration handbook. 3a edição. Upper Saddle River, NJ: Prentice Hall, 2000.
COMER, D. E. Internetworking with TCP/IP. vol. I. 4a edição. Upper Saddle River, NJ: Prentice-Hall, 2000.
GROUP, W. UNIX system V bible: commands and utilities. Upper Saddle River, NJ: Financial Times Prentice Hall, 1993.
SOUZA, L. B. Redes de computadores: guia total. São Paulo, SP: Érica, 2011."
MCZA012-13	Laboratório de Sistemas Operacionais	0-4-4	Sistemas Operacionais	Conceituação; evolução histórica; estruturação de sistemas operacionais; a função do gerenciamento; gerenciamento de processos, memória, serviços, dispositivos, dados: desempenho e arquivos; características de um sistema operacional;tópicos de sistemas operacionais.	"TANENBAUM, A. Sistemas operacionais modernos. 3ª edição. São Paulo, SP: Prentice Hall, 2010.
SILBERSCHATZ, A.; GALVIN, P. B.; GAGNE, G. Fundamentos de sistemas operacionais. 8ª edição. Rio de Janeiro, RJ: LTC, 2010.
TANENBAUM, A. Sistemas operacionais: projeto e implementação. 3ª edição. Porto Alegre, RS: Bookman, 2008."	"OLIVEIRA, R. S.; CARISSIMI, A. S.; TOSCANI, S. S. Sistemas operacionais. 3ª edição. Porto Alegre, RS: Sagra, 2004.
SILBERSCHATZ, A.; GALVIN, P. B.; GAGNE, G. Sistemas operacionais com Java.7ª edição. Rio de Janeiro, RJ: Elsevier, 2008.
SILBERSCHATZ, A.; GALVIN, P. B; GAGNE, G. Operating system concepts. 7a edição. Hoboken: John Wiley & Sons, 2005.
TANENBAUM, A. S; WOODHULL, A. S. Operating systems: design and implementation. 3a edição. Upper Saddle River, NJ: Pearson/Prentice Hall, 2006.
TANENBAUM, A. S. Modern operating systems. 3a edição. Upper Saddle River, NJ: Prentice Hall, 2008."
NHZ3081-15	Lasers e Óptica Moderna	3-1-4	Física Quântica; Óptica; Funções de Várias Variáveis	Revisão da Teoria Eletromagnética (Equações de Maxwell); Equação de Onda; Formalismo de traçado de raios; Cavidades Ópticas; Soluções da Equação de Onda em Cavidades Ópticas Estáveis: Modo TEM 0,0 e modos TEM . Interação da radiação com a matéria: Emissão de corpo negro e os coeficientes de Einstein; Emissão estimulada e ganho; Oscilação Laser; Tipos de Laser; Princípios de Holografia; Princípios de Óptica Não-Linear; Princípios de Espectroscopia laser; Princípios de manipulação do movimento de átomos com fótons.	"1- HECHT, Eugene.. Optics. 4th ed.. Reading, Mass: Addison-Wesley, 2002. 698 p.
2- METCALF, H. J.; VAN DER STRATEN, P. Laser coling and trapping. New York: Springer, 1999.
3- VERDEYEN, Joseph T. Laser electronics. 3 ed. Englewood Cliffs, EUA: Prentice Hall, 1995. 778 p."	"1- BERNE, B. J.; PECORA, R. Dynamic light scattering; with applications to chemistry, biology and physics. Mineola; Dovwer Publications, 2000. 376 p.
2- BORN, Max; WOLF, Emil. Principles of optics: eletromagnetic theory of propagation, interference and diffration of light. 7.th. New York: University Press Cambridge, 2005. 952 p.
3- FOWLES, Grant R.. Introduction to modern optics. 2nd ed., Dover ed.. New York: Dover Publications, 1989. 328 p.
4- MESCHEDE, Dieter. Optics, light and lasers: the practical approach to modern aspects of photonics and laser physics. 2 ed. Weinheim; Wiley-VCH, 2007. 572 p."
ESTB010-17	Legislação Relacionada à Saúde	2-0-4	Princípios de Ética em Serviços de Saúde	Classe dos produtos Médicos; Ciclo de vida de Produto: aspectos de segurança, eficácia, descarte do produto; Gerenciamento de risco de produtos da saúde; Medidas de controle de risco: aspectos tecnológicos e de saúde da série de normas IEC 60601; Tópicos da avaliação do projeto de equipamento médico no Brasil – estudo de caso: segurança contra choque elétrico, riscos mecânicos, desempenho essencial; Aspectos básicos de controle de processo de fabricação – as boas práticas de fabricação.	"Legislação Vigente do Instituto Nacional de Metrologia, Qualidade e Tecnologia (INMETRO) http://www.inmetro.gov.br/
Portaria vigente da Agência Nacional de Vigilância Sanitária (ANVISA) http://portal.anvisa.gov.br/wps/portal/anvisa/anvisa/home
Série de Normas ABNT NBR IEC 60601 – Equipamento Eletromédico"	"BRAYBROOK, Julian H.; Biocompatibility assessment of medical devices and materials. Chichester, Inglaterra: Wiley, c1997. xiv, 229 p. (Biomaterials science and engineering series). Includes bibliographical references and index. ISBN 9780471965978.
BRONZINO, Joseph D.; (ed). Medical Devices and Systems. 3 ed. Boca Raton: CRC/Taylor & Francis, 2006. [várias paginações]. (The Electrical Engineering Handbook Series/The Biomedical Engineering Handbook Series, 2). Includes bibliographical references and index. ISBN 9780849321221.
DANIEL, Amiram; KIMMELMAN, Ed.; TRAUTMAN, Kimberly A.; The FDA and worldwide quality system requirements guidebook for medical devices. 2ª. ed. Milwaukee, WI: ASQ Quality Press, 2008. xxx, 304 p. ISBN 9780873897402.
HELMUS, Michael N.; Biomaterials in the design and reliability of medical devices. Georgetown, EUA: Landes Bioscience; Kluwer Academic/Plenum Publishers, c2003. 226 p. (Tissue engineering intelligence unit, 5). Includes bibliographical references and index. ISBN 9780306476914.
KING, Paul H.; FRIES, Richard C.; Design of biomedical devices and systems. New York: Marcel Dekker, c2003. xv, 585 p. Includes bibliographical references and index.. ISBN 082470889-x."
NHI5015-15	LIBRAS	4-0-2	Não há	Noções básicas de Libras – Introdução ao idioma visando comunicação inicial entre ouvintes e surdos. Conceitos de Deficiência Auditiva e Surdez: a concepção médica e concepção social. Método Combinado, Oralismo, Comunicação Total e Bilinguismo como propostas educacionais e suas implicações. Semelhanças e Diferenças entre línguas orais e gestuais do ponto de vista da compreensão, expressão e aquisição. Mitos sobre as línguas de sinais. Conceito de Libras. Legislação específica: a Lei nº 10.436, de 24/04/2002 e o Decreto nº 5.626, de 22/12/2005. Aspectos Lingüísticos da Libras: Fonologia, Morfologia, Sintaxe, Semântica, Pragmática. Políticas Educacionais Inclusivas para o surdo e o papel do intérprete na sua educação. Aquisição do Português como segunda língua e a escrita do surdo. Surdez: aspectos culturais.	"CAPOVILLA F, RAPHAEL V. Dicionário enciclopédico ilustrado trilíngüe – Língua Brasileira de Sinais – LIBRAS. (vol. I e II). São Paulo: EDUSP, 2001.
MINISTÉRIO DA EDUCAÇÃO. Lei nº 10.436, de 24 de abril de 2002. Brasília: MEC, 2005.
MINISTÉRIO DA EDUCAÇÃO. Decreto nº 5.626 de 22 de dezembro de 2005. Brasília: MEC, 2005.
QUADROS RM, KARNOPP, L. Língua de Sinais Brasileira: estudos lingüísticos. Porto Alegre: Artmed, 2004.
SKLIAR C. Atualidade da educação bilíngue para surdos (vol. 2) interfaces entre pedagogia e linguística. Porto Alegre, Mediação, 1999."	"CAPOVILLA FC, RAPHAEL WD. Enciclopédia da Língua de Sinais Brasileira: O Mundo do Surdo em Libras. São Paulo, SP: Edusp, Imprensa Oficial do Estado de São Paulo; 2004 a. v.1.
QUADROS RM. Educação de Surdos – A aquisição da linguagem. Porto Alegre: Artes Médicas, 1997.
SACKS OW. Vendo Vozes: uma viagem ao mundo dos surdos. São Paulo: Companhia das Letras, 1998.
SKLIAR C. A Surdez: um olhar sobre as diferenças, Porto Alegre: Mediação, 1998.
SKLIAR C. Atualidade da educação bilíngue para surdos (vol. 1) Processos e projetos pedagógicos. Porto Alegre, Mediação, 1999."
NHT4023-15	Ligações Químicas	4-0-6	Estrutura da Matéria	Modelo de repulsão do par de elétrons do nível de valência - VSEPR, Teoria de ligação de Valência, Orbitais híbridos. Teoria dos orbitais moleculares. Ácidos e Bases. Simetria molecular. Teoria de bandas.	"DOUGLAS, B.; et al. Concepts and models of inorganic chemistry, 3 ed., New York: John Wiley & Sons, 1993.
Shriver, D. F.; Atkins, P. W.; Langford, C. H.. Inorganic Chemistry, 4a ed. Freeman and Company. 2008.
DUPONT, J. Química organometálica : elementos do bloco d. Bookman, 2005."	"Huheey, J.E.; Keiter, E. A.; Keiter, R. L. Inorganic Chemistry: Principles of Structure and Reactivity. 4a ed., Harper Collins. 1993.
BROWN, I.D. The chemical bond in inorganic chemistry : the bond valence model. Oxford University Press, 2006.
Barrett, J. Structure and Bonding (Basic Concepts In Chemistry). 1a ed. Wiley-RSC. 2002.
Albright, T. A. Orbitals Interaction in Chemistry. 2a ed. Wiley-Interscience. 2002.
Harris, D. C. ; Bertolucci, M. d. Symmetry and Spectroscopy: an Introduction to Vibrational and Electronic Spectroscopy. New York, USA: Dover, 1989.
SMITH, G. Topics in group theory. Springer. 2000."
MCTA015-13	Linguagens Formais e Automata	3-1-4	Programação Estruturada	Conceitos básicos. Linguagens regulares: autômatos determinísticos e não-determinísticos, expressões regulares. Linguagens livres de contexto: gramática, autômatos a pilha. Linguagens recursivamente enumeráveis: máquinas de Turing determinísticas e não-determinísticas. Indecidibilidade: o problema da parada. Complexidade: definição das classes P e NP.	"SIPSER, M. Introdução à teoria da computação. 2ª edição. São Paulo, SP: Thomson Learning, 2007.
HOPCROFT, J. E.; ULLMAN, D. J.; MOTWANI, R. Introdução à teoria de autômatos, linguagens e computação. 2ª edição. Rio de Janeiro, RJ: Editora Campus, 2003.
LEWIS, H. R.; PAPADIMITRIOU, C. H. Elementos de teoria da computação.2ª edição. New York, USA: Bookman Companhia, 2000."	"YAN, S. Y. An introduction to formal languages and machine computation. Singapure, SGP: World Scientific Publishing Company, 1998.
RICH, E. A. Automata, computability and complexity: theory and applications. Upper Saddle River, NJ: Prentice Hall, 2007.
ANDERSON, J. Automata theory with modern applications. Cambridge, UK: Cambridge University Press, 2006.
SHALLIT,J.A.Secondcourseinformallanguagesandautomata theory. Cambridge, UK: Cambridge University Press, 2008.
SALOMAA, A. Computation and automata. Cambridge, UK: Cambridge University Press, 1985."
NHT4073-15	Livros Didáticos no Ensino de Química	4-0-4	Práticas de Ensino de Química I	Análise dos documentos curriculares oficiais, com vistas a discutir seus referenciais pedagógicos. Reflexão sobre o papel do livro didático no ensino de química e análise da dinâmica de sua utilização em sala de aula. Análise e seleção de textos, atividades e outros materiais utilizados no ensino de química. Produção de material didático: elaboração por parte do aluno de uma proposta que considere as reflexões vivenciadas.	"BRASIL. Ministério da Educação. Secretaria de Educação Fundamental. Parâmetros Curriculares Nacionais: Ciências Naturais. Brasília. 1998.
FARIAS, R. F.; NEVES, L. S.; SILVA, D. D. História da Química no Brasil. 2ª ed. Campinas: Átomo, 2004.
FILGUEIRAS, C. A. L. Lavoisier: O estabelecimento da química moderna: nada se cria, nada se perde, tudo se pesa. São Paulo: Odysseus, 2002.
MACHADO, A. H. Aula de química: Discurso e conhecimento. 2ª ed. Ijuí, RS: Ed. Unijuí, 2004.
SCHNETZLER, R. P.; SANTOS, W. L. P. Educação em Química: Compromisso com a cidadania. 3ª ed. Ijuí, RS: Ed. Unijuí, 2003."	"CARVALHO, A. M. P.; GIL-PÉREZ, D. Formação de professores de ciências: Tendências e inovação. 7ª ed. São Paulo: Cortez, 2009.
FERRÉS, J. Vídeo e educação. 2ª ed. Porto Alegre: Artes Médicas, 1996."
NHI2049-13	Lógica Básica	4-0-4	Bases Epistemológicas da Ciência Moderna; Funções de uma Variável	Cálculo sentencial (ou proposicional) clássico: noções de linguagem, conectivos, dedução e teorema, semântica de valorações. Cálculo clássico de predicados de primeira ordem: os conceitos de linguagem de primeira ordem, igualdade, teorema da dedução, consequência sintática. Semântica: noções de interpretação, verdade em uma estrutura, modelo. O conceito formal de teoria, fecho dedutivo. Exposição informal de temas, e.g., acerca da consistência de teorias, completude de teorias.	"COSTA, N. C. A. Ensaio sobre os fundamentos da lógica. São Paulo, SP: Hucitec, 2008.
MORTARI, C. A. Introdução à lógica. São Paulo, SP: Editora da Unesp, 2001.
OLIVEIRA, A. J. F. Lógica & aritmética: uma introdução à lógica, matemática e computacional. 3ª edição. Lisboa, PRT: Gradiva, 2010."	"BLANCHÉ, R.; DUBUCS, J. História da lógica. Lisboa, PRT: Edições 70, 1996.
CARNIELLI, W.; EPSTEIN, R. L. Computabilidade, funções computáveis, lógica e os fundamentos da matemática. São Paulo, SP: Unesp, 2006.
DEVLIN, K. Sets, functions, and logic: an introduction to abstract mathematics. 3a edição. Boca Raton, USA: Chapman & Hall, 2004.
ENDERTON, H. B. A mathematical introduction to logic. 2a edição. San Diego,USA: Academic Press, 2001.
HAACK, S.; LORENZI, H. Filosofia das lógicas. São Paulo, SP: UNESP, 2002.
KNEALE, W. C; KNEALE, M. The development of logic. Oxford, UK: Clarendon Press, 1962.
MENDELSON, E. Introduction to mathematical logic. 4a edição. London, UK: Chapman & Hall, 1997.
SUPPES, P. Introduction to logic. Mineola, USA: Dover Publications, 1999."
NHZ2050-11	Lógica e os Fundamentos da Matemática	4-0-4	Lógica Básica	A teoria de Georg Cantor do final do século XIX e os infinitos; a versão formalizada da teoria ingênua dos conjuntos de G. Frege e o paradoxo introduzido por Bertrand Russell; a expressabilidade dos objetos matemáticos (números, relações,funções, etc) em termos de conjuntos. A teoria ingênua dos conjuntos como uma apresentação informal da teoria axiomática dos conjuntos de Zermelo-Fraenkel.	"ALENCAR, F. E.. Teoria Elementar dos Conjuntos. São Paulo: Livraria Nobel, 1976.
DA COSTA, Newton C. A.. Ensaio sobre os fundamentos da lógica. São Paulo: Hucitec, 3ª. reimpressão, 2009.
HALMOS, Paul R. Teoria Ingenua dos Conjuntos. Tradução de Irineu Bicudo. S. Paulo: Editora da Universidade de São Paulo e Editora Polígono, 1970.
"	"DAVIS, P. and HERSCH, R. ¿ The Mathematical Experience ¿ Basiléia,:Birkhäuser, 1981.
DEVLIN, K., Sets, Functions and Logic: An Introduction to Abstract Mathematics, 2a ed., Londres: Chapman & Hall Mathematics, 2004.
SUPPES, P. Axiomatic Set Theory. Toronto: Dover Publications, 1972.
FITTING, M. Incompleteness in the Land of Sets. Londres: College Publications, 2007.
HRBACEK K., Jech T. Introduction to Set Theory. Nova York: M. Dekker, 1999."
ESZG039-17	Lógica em Sistemas de Gestão	2-2-5	Não há	Lógicas clássicas e lógicas heterodoxas: princípios gerais; classificação das lógicas e suas aplicações em Engenharia de Gestão; lógica boolena; teoria de conjuntos clássica e fuzzy: propriedades e relações. lógica fuzzy: mecanismos de inferência e métodos de classificação booleanos e fuzzy e suas principais aplicações em Engenharia de Gestão e produção; métodos de fuzzificação, implicação, agregação de conjuntos e de fuzzificação; caracterização de modelos aplicáveis a Engenharia de Gestão e de produção e cálculo de outputs; comparação de desempenho de modelos booleanos e fuzzy com relação ao índice de acerto e ao tempo de execução de sistemas para Engenharia de Gestão e produção.	"MORTARI, C. A.; Introdução à lógica. Ed. UNESP, 2001.
REZENDE, S. O.; Sistemas inteligentes – fundamentos e aplicações. Ed. Manole, 2005.
BISPO, C. A. F. Introdução à lógica matemática. São Paulo: CENCAGE, 2011."	"BOOLE, G.; The laws of thought. Ed. Prometheus Books, 2003.
NGUYEN, H.T.; WALKER, E.A.; A first course en fuzzy logic. Ed. Boca Raton: Champman & Hall CRC, 2006.
SIVANANDAM, S. N.; SUMATHI, S.; DEEPA, S. N. Introduction to fuzzy logic using matlab. NEW YORK: SPRINGER, 2006.
POERIN FILHO, C. Introdução a simulação de sistemas. Campinas: Unicamp, 1995.
BLANCHÉ, R.; DUBUCS, J. História da Lógica. Lisboa: Edições 70, 1996."
ESZA017-17	Lógica Programável	3-1-4	Eletrônica Digital	Dispositivos lógicos programáveis; linguagem VHDL; estilos de descrição em VHDL; elementos sintáticos do VHDL; redes combinacionais em VHDL; redes seqüenciais em VHDL; síntese de circuitos digitais utilizando uma ferramenta CAE; projetos em VHDL.	"D´AMORE, Roberto; ""Descrição e Síntese de Circuitos Digitais"", LTC-Livros Técnicos e Científicos Editora S.A., 2005.
PERRY, Douglas L.; “VHDL, Programming by Example”, Fourth Edition, McGraw-Hill, 2002.
SALSIC, Zoran; SMAILAGIC, A.; ""Digital systems design and prototyping using field programmable logic and hardware description languages"", Kluwer Academic Publishers, 2000."	"ASHENDEN, Peter J.; A designer´s Guide to VHDL, Third Edition, Morgan Kaufmann Publishers, 2008.
HAMBLEN, James O.; FURMAN, Michael D.; “Rapid Prototyping of Digital Systems, A Tutorial Approach”, Kluwer Academic Publisher, 2001.
ERCEGOVAC, Milos D.; LANG, Tomás; MORENO, Jaime H.; “Introduction to Digital Systems”, John Wiley & Sons, 1998.
BROWN, Stephen, VRANESIC, Zvonko; “Fundamentals of Digital Logic With VHDL Design”, Second edition, McGraw-Hill, 2005.
DEWEY, Allen M.; “Analysis and Design of Digital Systems with VHDL, PWS Publishing company, 1997."
MCZA013-13	Lógicas Não Clássicas	4-0-4	Lógica Básica	Caracterização da Lógica Clássica e das Lógicas não-clássicas. Lógicas não-monotônicas. Lógica Fuzzy. Lógicas Modais.	"HAACK, S. Filosofia das lógicas. São Paulo, SP: Editora da UNESP, 1998.
CHELLAS, B. Modal logic: an introduction. Cambridge, UK: Cambridge University Press, 1980.
FITTING, M.; MENDELSOHN, R. L. First-order modal logic. Amsterdam, NLD: Kluwer, 1998."	"NGUYEN, H. T.; WALKER, E. A. A first course in fuzzy logic. 3a edição. Boca Raton, USA: Chapman & Hall/CRC, 2005.
BESNARD, P. An introduction to default logic. New York, USA: Springer-Verlag, 1989.
MORTARI, C. Introdução à lógica. São Paulo, SP: Editora da UNESP, 2001.
MAREK, V. W; TRUSZCZYNSKI, M. Nonmonotonic logic. New York, USA: Springer- Verlag, 1993.
BLACKBURN, P; RIJKE, M.; VENEMA, Y. Modal logic. Cambridge, UK: Cambridge University Press, 2001.
BARROS, L. C.; BASSANEZI, R. Tópicos de lógica fuzzy e biomatemática. São Paulo, SP: Editora do IMECC-UNICAMP, 2006."
ESZU013-17	Logística e Meio Ambiente	2-0-2	Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental; Engenharia Logística; Território e Logística	Sustentabilidade; Economia espacial e meio ambiente, Cadeia de suprimentos; Fluxos logísticos; O conceito de custo total; Opções modais e integração modal; Otimização de redes logísticas (locação de instalações e racionalização de redes de distribuição); Ciclo de vida; Logística reversa; Logística internacional e barreiras não alfandegárias; Lei nº 12.305/10 (política nacional de resíduos sólidos); Impactos ambientais de operações logísticas; Avaliação econômica e ambiental de projetos logísticos; Licenciamento; Operações logísticas com cargas perigosas.	"NOVAES, A. G.; ALVARENGA, A. C.; Logística Aplicada Suprimento e Distribuição Física. São Paulo: Edgard Blucher, 2000. ISBN: 9788521202684
CHOPRA, S.; MEINDL, P.; Gerenciamento da cadeia de suprimentos. São Paulo: Prentice Hall, 2003.. ISBN: 8587918249.
MCKINNON, A. C.; Green logistics improving the environmental sustainability of logistics. London, Kogan Page, c2010 Philadelphia. xi, 372 p. ISBN 9780749456788."	"BALLOU, Ronald H.; Gerenciamento da Cadeia de Suprimentos. 5 ed. Bookman Companhia ED, Ed. 5º. 2006. ISBN-13: 9788536305912.
BARTHOLOMEU, D. B.; Logística Ambiental de Resíduos Sólidos. 1 ed. Atlas. 2011. 264p. ISBN-13: 9788522461981.
BLUMBERG, D. F.; Introduction to management of reverse logistics and closed loop supply chain processes. Boca Raton:, CRC Press, c2005. xiv, 279 p. The St. Lucie series on resource management.
DONATO, V.; Logística Verde. 1 Ed. Ciência Moderna. 2008. 276p. ISBN-13: 9788573937053.
DORNIER, P. P.; Logística e Operações Globais. São Paulo: Atlas, 2000.
LEITE, P. R.; Logística Reversa Meio Ambiente e Competitividade. 2 ed. PRENTICE HALL BRASIL. 2009. 256p. ISBN-13: 9788576053651.
MARTEL, Alain; VIERA, Darli Rodrigues; Análise e projeto de redes logísticas. 2 ed. São Paulo: Saraiva, 2010. 236 p. ISBN 9788502090224.
PAS 2050 Guide to PAS 2050: How to assess the carbon footprint of goods and services, BSI British Standards, London 2008. ISBN:9780580646362. Disponível em: < http://www.thegreensignal.org/images/PAS2050%20Guide.pdf> Acesso: 04/12/11
PEREIRA, A. L.; et al. Logística Reversa e Sustentabilidade. 1 ed. CENGAGE 2011. 208p. ISBN-13: 9788522110636."
ESHC022-17	Macroeconomia I	4-0-4	Introdução à Economia	Principais agregados macroeconômicos. Identidades básicas de contas nacionais. O mercado monetário e o mercado de bens. O modelo IS/LM para uma economia fechada: equilíbrio no mercado de bens e no mercado de moeda no curto prazo. A equivalência entre o equilíbrio no mercado de bens e a igualdade entre poupança e investimento. Equilíbrio no mercado de trabalho e taxa natural de desemprego. O mecanismo de ajustamento de preços e a convergência da taxa de desemprego para a taxa natural de desemprego no médio prazo. O modelo de oferta agregada e demanda agregada (AS/AD): produção e preços no médio prazo. Modelos IS/LM e AS/AD: efeitos de políticas fiscais e monetárias sobre a produção e preços no curto e no médio prazo. Curva de Phillips: versão original e aceleracionista.	"ABEL, A.B.; BERNANKE, B.S.; CROUSHORE, D. Macroeconomia. 6ª edição. São Paulo: Editora Pearson, 2008.
BLANCHARD, O. Macroeconomia. 5ª edição. São Paulo: Editora Prentice Hall, 2011.
MANKIW, G. N.. Macroeconomia. 8ª edição. São Paulo: Editora LTC, 2014."	"BRAGA, M. B.; PAULANI, L.. A nova contabilidade social. 4a edição. São Paulo: Editora Saraiva, 2013.
DORNBUSCH, R.; FISCHER, S.; STARTZ, R. Macroeconomia. 11ª edição. Porto Alegre: AMGH, 2013.
SACHS, J.; LARRAIN,F.. Macroeconomia em uma economia global. Makron Books, 2000.
SNOWDON, B. e VANE, H. R..Modern Macroeconomics: its origins, development and current state. Edward Elgar Publishing, 2005.
WILLIANSON, S. Macroeconomics. 4ª edição. Prentice Hall, 2010."
ESHC032-17	Macroeconomia II	4-0-4	Macroeconomia I	Preços e rendimentos dos títulos. Teorias de consumo: teoria da renda permanente e teoria do ciclo de vida. Teorias de Investimento: teoria clássica do investimento e q de Tobin. O modelo IS-LM expandido com expectativas. O modelo de Mundell-Fleming: a adaptação do modelo IS-LM para o caso de uma economia aberta. Expectativas racionais e ciclos de negócios.	"BLANCHARD, O. Macroeconomia. 5ª edição. São Paulo: Editora Prentice Hall, 2011.
CARVALHO, F. C. (ed.). Economia Monetária e Financeira: Teoria e política. 3ª edição. Rio de Janeiro: Editora Elsevier, 2015.
MANKIW, G. N. Macroeconomia. 8ª edição. São Paulo: Editora LTC, 2014."	"DORNBUSCH, R.; FISCHER, S.; STARTZ, R. Macroeconomia. 11ª edição. Porto Alegre: AMGH, 2013.
FROYEN, RICHARD T. Macroeconomia: Teoria e aplicações. 2ª edição. São Paulo: Editora Saraiva, 2013.
ROMER, D. Advanced Macroeconomics. 4ª edição. McGraw-Hill Series Economics, 2011.
SIMONSEN, M. H.; CYSNE, R. P..Macroeconomia. 4ª edição. São Paulo: Editora Atlas, 2009.
SNOWDON, B. e VANE, H. R. Modern Macroeconomics: its origins, development and current state. Edward Elgar Publishing, 2005."
ESHC024-17	Macroeconomia III	4-0-3	Macroeconomia II	Os fatos estilizados de crescimento econômico. Modelo Harrod-Domar. O modelo de Solow na versão simples. O Modelo de Solow com progresso técnico. Regra de Ouro. Modelos AK de crescimento endógeno: modelos com capital humano e modelos de crescimento econômico através de learningbydoing. O modelo de crescimento endógeno de Romer, de uma economia com dois setores. O modelo de Lucas de Capital Humano. 	"ACEMOGLU, D. Introduction to Modern Economic Growth. Princeton University Press, 2005. 
JONES, C. Introdução à Teoria do Crescimento Econômico, Editora Campus, 2000.
VALDES, B. Economic Growth: Theory, Empirics and Policy. Edward Elgar Publishing, 2000."	"EASTERLY, W.The Elusive Quest for Growth.MIT Press, 2002.
GRANDVILLE, Olivier .Economic Growth – A Unified Approach. Cambridge University Press, first edition, 2009.
HELPMAN, Elhanan. The Mystery of Economic Growth.Belknap Press of Harvard University Press, first edition, 2007.
PASINETTI, L. Structural Economic Dynamics - A theory of the economic consequences of human learning, Cambridge: Cambridge University Press, 1983.
WEILL, D. N. Economic Growth.Addyson-Wesley, 2th edition, 2008."
